maxDisap,maxDist,runMean,num_frames,num_detections,num_objects,num_predictions,num_unique_objects,num_tracks,num_matches,num_switches,num_misses,num_false_positives,precision,recall,mota,motp,mostly_tracked,partially_tracked,mostly_lost
70, 100, 150, 189,1724,1724,1724,32,107,1495,229,0,0,1.0,1.0,0.867169373549884,0.0,32,0,0
70, 900, 160, 189,1724,1724,1724,32,23,1665,59,0,0,1.0,1.0,0.9657772621809745,0.0,32,0,0
30, 900, 140, 189,1724,1724,1724,32,25,1680,44,0,0,1.0,1.0,0.974477958236659,0.0,32,0,0
30, 300, 40, 189,1724,1724,1724,32,38,1667,57,0,0,1.0,1.0,0.9669373549883991,0.0,32,0,0
50, 100, 60, 189,1724,1724,1724,32,108,1495,229,0,0,1.0,1.0,0.867169373549884,0.0,32,0,0
150, 800, 10, 189,1724,1724,1724,32,22,1699,25,0,0,1.0,1.0,0.9854988399071926,0.0,32,0,0
140, 900, 70, 189,1724,1724,1724,32,23,1664,60,0,0,1.0,1.0,0.9651972157772621,0.0,32,0,0
120, 0, 160, 189,1724,1724,1724,32,17,1658,66,0,0,1.0,1.0,0.9617169373549884,0.0,32,0,0
50, 500, 30, 189,1724,1724,1724,32,29,1682,42,0,0,1.0,1.0,0.9756380510440835,0.0,32,0,0
150, 0, 70, 189,1724,1724,1724,32,17,1661,63,0,0,1.0,1.0,0.9634570765661253,0.0,32,0,0
50, 100, 70, 189,1724,1724,1724,32,108,1495,229,0,0,1.0,1.0,0.867169373549884,0.0,32,0,0
120, 400, 140, 189,1724,1724,1724,32,31,1676,48,0,0,1.0,1.0,0.9721577726218098,0.0,32,0,0
70, 800, 110, 189,1724,1724,1724,32,24,1667,57,0,0,1.0,1.0,0.9669373549883991,0.0,32,0,0
90, 400, 150, 189,1724,1724,1724,32,31,1676,48,0,0,1.0,1.0,0.9721577726218098,0.0,32,0,0
50, 0, 10, 189,1724,1724,1724,32,17,1689,35,0,0,1.0,1.0,0.9796983758700696,0.0,32,0,0
10, 200, 140, 189,1724,1724,1724,32,62,1656,68,0,0,1.0,1.0,0.9605568445475638,0.0,32,0,0
90, 600, 110, 189,1724,1724,1724,32,26,1673,51,0,0,1.0,1.0,0.9704176334106729,0.0,32,0,0
150, 500, 150, 189,1724,1724,1724,32,29,1688,36,0,0,1.0,1.0,0.9791183294663574,0.0,32,0,0
40, 1000, 1, 189,1724,1724,1724,32,23,1710,14,0,0,1.0,1.0,0.9918793503480279,0.0,32,0,0
70, 200, 50, 189,1724,1724,1724,32,53,1626,98,0,0,1.0,1.0,0.9431554524361949,0.0,32,0,0
90, 700, 110, 189,1724,1724,1724,32,25,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
80, 400, 30, 189,1724,1724,1724,32,33,1679,45,0,0,1.0,1.0,0.9738979118329466,0.0,32,0,0
110, 100, 160, 189,1724,1724,1724,32,105,1499,225,0,0,1.0,1.0,0.8694895591647331,0.0,32,0,0
110, 0, 60, 189,1724,1724,1724,32,17,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
160, 500, 50, 189,1724,1724,1724,32,29,1674,50,0,0,1.0,1.0,0.9709976798143851,0.0,32,0,0
110, 200, 80, 189,1724,1724,1724,32,53,1622,102,0,0,1.0,1.0,0.9408352668213457,0.0,32,0,0
110, 700, 1, 189,1724,1724,1724,32,24,1709,15,0,0,1.0,1.0,0.9912993039443155,0.0,32,0,0
30, 700, 20, 189,1724,1724,1724,32,26,1699,25,0,0,1.0,1.0,0.9854988399071926,0.0,32,0,0
10, 200, 100, 189,1724,1724,1724,32,62,1656,68,0,0,1.0,1.0,0.9605568445475638,0.0,32,0,0
70, 700, 110, 189,1724,1724,1724,32,25,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
140, 700, 150, 189,1724,1724,1724,32,25,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
140, 400, 90, 189,1724,1724,1724,32,31,1676,48,0,0,1.0,1.0,0.9721577726218098,0.0,32,0,0
10, 100, 150, 189,1724,1724,1724,32,134,1545,179,0,0,1.0,1.0,0.8961716937354989,0.0,32,0,0
70, 900, 110, 189,1724,1724,1724,32,23,1667,57,0,0,1.0,1.0,0.9669373549883991,0.0,32,0,0
40, 100, 160, 189,1724,1724,1724,32,111,1496,228,0,0,1.0,1.0,0.8677494199535962,0.0,32,0,0
60, 100, 70, 189,1724,1724,1724,32,107,1495,229,0,0,1.0,1.0,0.867169373549884,0.0,32,0,0
20, 400, 130, 189,1724,1724,1724,32,32,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
130, 0, 60, 189,1724,1724,1724,32,17,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
